1	3	5
2323	2225	2350
2225	2321	2350
2225	2230	2321
2230	2417	2321
2230	2205	2417
2205	2460	2417
2460	2581	2417
2460	2693	2581
2693	2816	2581
2693	2904	2816
2693	2675	2904
2693	2630	2675
2205	2299	2460
2299	2404	2460
2299	2407	2404
2407	2630	2404
2407	2430	2630
2407	2381	2430
2381	2238	2430
2238	2389	2430
2389	2496	2430
2496	2567	2430
2496	2603	2567
2496	2601	2603
2496	2441	2601
2441	2482	2601
2482	2619	2601
2619	2756	2601
2619	2609	2756
2619	2482	2609
2482	2495	2609
2482	2333	2495
2441	2239	2482
2441	2389	2239
2389	2197	2239
2197	2177	2239
2177	2161	2239
2161	2195	2239
2195	2212	2239
2212	2333	2239
2212	2336	2333
2212	2165	2336
2165	2142	2336
2142	2235	2336
2235	2399	2336
2235	2386	2399
2386	2459	2399
2212	2195	2165
2195	2132	2165
2195	2161	2132
2161	2120	2132
2161	2177	2120
2197	2116	2177
2116	2101	2177
2116	2074	2101
2074	1896	2101
2116	2238	2074
2116	2197	2238
2197	2389	2238
2441	2496	2389
2407	2217	2381
2407	2299	2217
2225	2056	2230
2323	2244	2225
2244	2163	2225
2244	2182	2163
2244	2342	2182
2244	2323	2342
1945	2041	2140
2041	2062	2140
1659	1843	1794
1843	1883	1794
1883	1823	1794
1823	1661	1794
1883	1877	1823
1883	1925	1877
1883	1843	1925
1843	1904	1925
1904	2035	1925
1904	1938	2035
1677	1831	1695
1831	1771	1695
1689	1755	1736
1755	1818	1736
1818	1846	1736
1846	1784	1736
1691	1753	1767
1753	1828	1767
1693	1706	1791
1706	1863	1791
1706	1835	1863
1709	1853	1763
1853	1856	1763
1853	1892	1856
1892	2068	1856
2068	1984	1856
1984	1881	1856
1984	1970	1881
1984	2105	1970
1984	2124	2105
2124	2171	2105
2171	2118	2105
2118	2178	2105
2118	2191	2178
2124	2287	2171
2124	2122	2287
2124	2078	2122
2078	2068	2122
2068	2201	2122
2078	1984	2068
2078	2124	1984
1732	1832	1950
1832	1886	1950
1886	2038	1950
1886	1937	2038
1937	1963	2038
1963	2086	2038
1937	1855	1963
1855	1944	1963
